Time(hr),Time(min),Time(sec), Hour,Minute,Second,Azim,Elevetr,Elevref,Etrn,Ampress,Gndrn
13.9667,838,50280,13,58,0,0,68.7582,68.7642,1379.09,1.07235,1043.68
13.9833,839,50340,13,59,0,0,68.6487,68.6548,1379.09,1.07315,1043.49
14,840,50400,14,0,0,0,68.5372,68.5433,1379.09,1.07396,1043.29
14.0167,841,50460,14,1,0,0,68.4248,68.431,1379.09,1.07479,1043.08
14.0333,842,50520,14,2,0,0,68.3094,68.3156,1379.09,1.07565,1042.87
14.05,843,50580,14,3,0,0,68.1921,68.1983,1379.09,1.07653,1042.65
14.0667,844,50640,14,4,0,0,68.073,68.0792,1379.09,1.07742,1042.43
14.0833,845,50700,14,5,0,0,67.952,67.9583,1379.09,1.07834,1042.21
14.1,846,50760,14,6,0,0,67.8292,67.8356,1379.09,1.07928,1041.98
14.1167,847,50820,14,7,0,0,67.7057,67.7121,1379.09,1.08022,1041.75
14.1333,848,50880,14,8,0,0,67.5794,67.5858,1379.09,1.0812,1041.51
14.15,849,50940,14,9,0,0,67.4514,67.4579,1379.09,1.0822,1041.26
14.1667,850,51000,14,10,0,0,67.3217,67.3282,1379.09,1.08322,1041.01
14.1833,851,51060,14,11,0,0,67.1903,67.1969,1379.09,1.08426,1040.76
14.2,852,51120,14,12,0,0,67.0571,67.0637,1379.09,1.08532,1040.5
14.2167,853,51180,14,13,0,0,66.9238,66.9304,1379.09,1.08639,1040.23
14.2333,854,51240,14,14,0,0,66.7876,66.7943,1379.09,1.08749,1039.96
14.25,855,51300,14,15,0,0,66.6499,66.6566,1379.09,1.08861,1039.69
14.2667,856,51360,14,16,0,0,66.5104,66.5172,1379.09,1.08976,1039.41
14.2833,857,51420,14,17,0,0,66.3697,66.3766,1379.09,1.09092,1039.12
14.3,858,51480,14,18,0,0,66.2288,66.2356,1379.09,1.0921,1038.84
14.3167,859,51540,14,19,0,0,66.0852,66.0921,1379.09,1.0933,1038.54
14.3333,860,51600,14,20,0,0,65.9399,65.9468,1379.09,1.09454,1038.24
14.35,861,51660,14,21,0,0,65.7935,65.8005,1379.09,1.09579,1037.94
14.3667,862,51720,14,22,0,0,65.6457,65.6528,1379.09,1.09706,1037.63
14.3833,863,51780,14,23,0,0,65.4966,65.5037,1379.09,1.09835,1037.31
14.4,864,51840,14,24,0,0,65.347,65.3541,1379.09,1.09966,1036.99
14.4167,865,51900,14,25,0,0,65.195,65.2022,1379.09,1.101,1036.67
14.4333,866,51960,14,26,0,0,65.0421,65.0493,1379.09,1.10236,1036.34
14.45,867,52020,14,27,0,0,64.8879,64.8952,1379.09,1.10375,1036
14.4667,868,52080,14,28,0,0,64.7325,64.7399,1379.09,1.10515,1035.66
14.4833,869,52140,14,29,0,0,64.5759,64.5833,1379.09,1.10658,1035.31
14.5,870,52200,14,30,0,0,64.419,64.4265,1379.09,1.10802,1034.96
